5.333333333333333570e+01,4.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+01,2.000000000000000000e+01,4.666666666666666430e+01,4.000000000000000000e+01,3.333333333333332860e+01,2.666666666666666785e+01,2.666666666666666785e+01,2.666666666666666785e+01,4.000000000000000000e+01,4.000000000000000000e+01,1.333333333333333393e+01,3.333333333333332860e+01,4.666666666666666430e+01,6.666666666666666963e+00,6.666666666666666963e+00,6.666666666666666963e+00,2.000000000000000000e+01
6.000000000000000000e+01,4.000000000000000000e+01,5.333333333333333570e+01,2.666666666666666785e+01,4.000000000000000000e+01,3.333333333333332860e+01,4.666666666666666430e+01,4.000000000000000000e+01,1.333333333333333393e+01,2.000000000000000000e+01,1.333333333333333393e+01,3.333333333333332860e+01,3.333333333333332860e+01,3.333333333333332860e+01,1.333333333333333393e+01,3.333333333333332860e+01,1.333333333333333393e+01,6.666666666666666963e+00,2.000000000000000000e+01,1.333333333333333393e+01
3.333333333333332860e+01,4.666666666666666430e+01,1.333333333333333393e+01,5.333333333333333570e+01,1.333333333333333393e+01,6.000000000000000000e+01,1.333333333333333393e+01,7.333333333333332860e+01,2.000000000000000000e+01,3.333333333333332860e+01,2.666666666666666785e+01,2.666666666666666785e+01,2.666666666666666785e+01,2.666666666666666785e+01,3.333333333333332860e+01,1.333333333333333393e+01,2.000000000000000000e+01,1.333333333333333393e+01,2.000000000000000000e+01,1.333333333333333393e+01
5.333333333333333570e+01,6.666666666666665719e+01,3.333333333333332860e+01,3.333333333333332860e+01,4.666666666666666430e+01,3.333333333333332860e+01,5.333333333333333570e+01,5.333333333333333570e+01,4.000000000000000000e+01,3.333333333333332860e+01,6.666666666666666963e+00,2.000000000000000000e+01,2.666666666666666785e+01,4.000000000000000000e+01,3.333333333333332860e+01,2.666666666666666785e+01,2.666666666666666785e+01,1.333333333333333393e+01,1.333333333333333393e+01,2.000000000000000000e+01
4.666666666666666430e+01,4.666666666666666430e+01,5.333333333333333570e+01,4.000000000000000000e+01,3.333333333333332860e+01,6.000000000000000000e+01,4.666666666666666430e+01,2.000000000000000000e+01,2.666666666666666785e+01,3.333333333333332860e+01,4.666666666666666430e+01,2.666666666666666785e+01,3.333333333333332860e+01,2.666666666666666785e+01,2.000000000000000000e+01,2.000000000000000000e+01,2.666666666666666785e+01,6.666666666666666963e+00,1.333333333333333393e+01,4.000000000000000000e+01
4.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+01,4.000000000000000000e+01,2.000000000000000000e+01,3.333333333333332860e+01,3.333333333333332860e+01,3.333333333333332860e+01,4.666666666666666430e+01,2.666666666666666785e+01,1.333333333333333393e+01,1.333333333333333393e+01,2.000000000000000000e+01,2.666666666666666785e+01,1.333333333333333393e+01,2.000000000000000000e+01,4.000000000000000000e+01,6.666666666666666963e+00,1.333333333333333393e+01,1.333333333333333393e+01
4.000000000000000000e+01,4.000000000000000000e+01,4.666666666666666430e+01,3.333333333333332860e+01,2.666666666666666785e+01,2.000000000000000000e+01,3.333333333333332860e+01,3.333333333333332860e+01,2.000000000000000000e+01,6.666666666666666963e+00,3.333333333333332860e+01,2.666666666666666785e+01,4.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+01,4.000000000000000000e+01,3.333333333333332860e+01,2.000000000000000000e+01,1.333333333333333393e+01
4.666666666666666430e+01,1.333333333333333393e+01,3.333333333333332860e+01,3.333333333333332860e+01,0.000000000000000000e+00,6.666666666666665719e+01,4.000000000000000000e+01,2.000000000000000000e+01,2.666666666666666785e+01,3.333333333333332860e+01,3.333333333333332860e+01,2.000000000000000000e+01,4.000000000000000000e+01,1.333333333333333393e+01,1.333333333333333393e+01,3.333333333333332860e+01,6.666666666666666963e+00,3.333333333333332860e+01,2.666666666666666785e+01,2.000000000000000000e+01
4.000000000000000000e+01,3.333333333333332860e+01,4.000000000000000000e+01,6.000000000000000000e+01,4.666666666666666430e+01,2.666666666666666785e+01,2.666666666666666785e+01,5.333333333333333570e+01,1.333333333333333393e+01,4.000000000000000000e+01,3.333333333333332860e+01,2.000000000000000000e+01,4.666666666666666430e+01,4.000000000000000000e+01,6.666666666666666963e+00,1.333333333333333393e+01,2.666666666666666785e+01,1.333333333333333393e+01,6.666666666666666963e+00,1.333333333333333393e+01
4.000000000000000000e+01,7.333333333333332860e+01,4.666666666666666430e+01,4.666666666666666430e+01,4.666666666666666430e+01,3.333333333333332860e+01,6.000000000000000000e+01,4.000000000000000000e+01,2.666666666666666785e+01,2.666666666666666785e+01,2.666666666666666785e+01,1.333333333333333393e+01,2.666666666666666785e+01,6.666666666666666963e+00,2.000000000000000000e+01,4.666666666666666430e+01,2.000000000000000000e+01,2.666666666666666785e+01,3.333333333333332860e+01,3.333333333333332860e+01
